"GEOID","total_population","tot_population_race","pop_nonwhite","pop_nonwhitenh","race_pct_white","race_pct_whitenh","race_pct_nonwhite","race_pct_nonwhitenh","race_pct_black","race_pct_aapi","race_pct_native","race_pct_hisp","in_poverty","inc_pct_poverty","inc_percapita_income","tot_population_language","only_english_pct","any_other_than_english_pct","spanish_pct","age_pct_under18","age_pct_18_34","age_pct_35_64","age_pct_over65"
"26101",24444,24444,2124,2643,0.913107511045655,0.89187530682376,0.0868924889543446,0.10812469317624,0.0277777777777778,0.00523645884470627,0.0157502863688431,0.0301914580265096,2973,0.128578842660669,25778,23550,0.956475583864119,0.0435244161358811,0.0209341825902335,0.176321387661594,0.175544100801833,0.403943708067419,0.244190803469154
"26103",66939,66939,4513,5215,0.932580409029116,0.922093249077518,0.0674195909708839,0.0779067509224817,0.0168810409477285,0.0102630753372473,0.00833594765383409,0.0149539132643153,10259,0.16378498331657,26290,64231,0.963008516137068,0.0369914838629323,0.00921673335305382,0.181120124292266,0.273532619250362,0.367513706508911,0.177833549948461
"26105",28884,28884,1435,2468,0.950318515441075,0.914554770807367,0.0496814845589254,0.0854452291926326,0.00959008447583437,0.00643955130868301,0.00765129483451046,0.0454923140839219,4299,0.150916239556273,28812,27172,0.959185926689239,0.040814073310761,0.0230016193139997,0.205303974518765,0.178991829386512,0.391912477496192,0.223791718598532
"26107",43264,43264,2959,3719,0.931605954142012,0.914039386094675,0.0683940458579881,0.0859606139053254,0.0288923816568047,0.00783561390532544,0.00383690828402367,0.0221431213017751,8582,0.21331808804156,23182,41208,0.956319161327898,0.0436808386721025,0.00953698311007571,0.186875924556213,0.29920950443787,0.336885170118343,0.177029400887574
"26109",23234,23234,1301,1597,0.944004476198674,0.931264526125506,0.0559955238013257,0.0687354738744943,0.00279762417147284,0.0040027545837996,0.023241800809159,0.0173883102350004,2918,0.127797486094688,27609,22661,0.978288689819514,0.0217113101804863,0.00578085697895062,0.188215546182319,0.165102866488766,0.417749849358698,0.228931737970216
"26111",83389,83389,5484,7001,0.934235930398494,0.916044082552855,0.0657640696015062,0.0839559174471453,0.0140066435621005,0.0236242190216935,0.00455695595342311,0.026526280444663,8847,0.107887612497256,34497,79249,0.952062486592891,0.0479375134071093,0.0114449393683201,0.215915768266798,0.208096991209872,0.400424516423029,0.175562724100301
"26113",15006,15006,566,891,0.962281753965081,0.9406237504998,0.0377182460349194,0.0593762495001999,0.00453152072504332,0.00159936025589764,0.00633080101292816,0.0283886445421831,2309,0.155718910169949,22850,14076,0.963199772662688,0.0368002273373117,0.0171213412901392,0.231440757030521,0.182193789151006,0.387378381980541,0.198987071837931
"26115",149699,149699,8439,12902,0.943626877935056,0.913813719530525,0.0563731220649436,0.0861862804694754,0.0237342934822544,0.00627926706257223,0.00299935203307971,0.035143855336375,15747,0.106244307256351,30295,142120,0.968322544328736,0.0316774556712637,0.0142274134534196,0.219266661767948,0.19512488393376,0.416716210529128,0.168892243769163
"26117",63209,63209,3475,5159,0.94502365169517,0.918381875998671,0.05497634830483,0.081618124001329,0.021990539321932,0.00465123637456691,0.00499928807606512,0.0347577085541616,9957,0.164638380898839,23018,59389,0.966593140143798,0.0334068598562023,0.0143292528919497,0.226360170228923,0.200762549636919,0.406461105222358,0.166416174911801
"26119",9261,9261,303,366,0.96728215095562,0.960479429867185,0.0327178490443797,0.0395205701328151,0.0034553503941259,0.000863837598531476,0.00885433538494763,0.0127416045783393,1511,0.16608045724335,23930,9066,0.978380763291418,0.0216192367085816,0.0119126406353408,0.15019976244466,0.128063923982291,0.414858006694741,0.306878306878307
"26121",173043,173043,33273,40809,0.807718312789307,0.764168443681628,0.192281687210693,0.235831556318372,0.137058419005681,0.00569222678756147,0.007581930502823,0.0557953803389909,28384,0.171021950146716,24101,160798,0.963426162016941,0.0365738379830595,0.0221831117302454,0.234427281080425,0.214507376779182,0.391318920730685,0.159746421409707
"26123",48142,48142,3455,4529,0.9282331436168,0.905924141082631,0.0717668563831997,0.0940758589173695,0.0136471272485564,0.00332350130862864,0.00866187528561339,0.0579950978355698,8425,0.177559063415457,24005,45212,0.956670795364063,0.0433292046359374,0.0323365478191631,0.227909102239209,0.188110174068381,0.39992106684392,0.18405965684849
"26125",1250843,1250843,309817,346126,0.752313439816188,0.723285816045659,0.247686560183812,0.276714183954341,0.136786151419483,0.0723791874759662,0.00263981970559055,0.0400186114484392,106773,0.0861057303822029,42760,1161352,0.856171083358017,0.143828916641983,0.0246591903230028,0.215177284439374,0.210744274061573,0.415080070000791,0.158998371498262
"26127",26417,26417,1426,4791,0.946019608585381,0.818639512435174,0.0539803914146194,0.181360487564826,0.010864216224401,0.00246053677556119,0.0109020706363327,0.148124313888784,4440,0.170160579465757,23018,24605,0.881975208290998,0.118024791709002,0.107417191627718,0.232312526024908,0.183593897868797,0.383805882575614,0.200287693530681
"26129",20928,20928,720,1098,0.965596330275229,0.947534403669725,0.0344036697247706,0.0524655963302753,0.00367928134556575,0.00625955657492355,0.0107989296636086,0.0211678134556575,3455,0.168635298711441,22527,20231,0.98057436607187,0.0194256339281301,0.00657406949730611,0.185349770642202,0.159738149847095,0.406058868501529,0.248853211009174
"26131",5968,5968,236,298,0.960455764075067,0.950067024128686,0.0395442359249329,0.0499329758713136,0.00552949061662198,0.00385388739946381,0.00871313672922252,0.0145777479892761,901,0.15289326319362,23850,6136,0.963331160365059,0.0366688396349413,0.00554106910039113,0.125837801608579,0.105060321715818,0.42627345844504,0.342828418230563
"26133",23232,23232,885,1229,0.961905991735537,0.947098829201102,0.0380940082644629,0.0529011707988981,0.0110192837465565,0.00301308539944904,0.00839359504132231,0.0179924242424242,4488,0.196342637151107,22142,21900,0.95986301369863,0.0401369863013699,0.00799086757990868,0.227703168044077,0.180268595041322,0.3897641184573,0.2022641184573
"26135",8277,8277,259,358,0.968708469252144,0.95674761386976,0.0312915307478555,0.0432523861302404,0.00640328621481213,0.000966533768273529,0.00628246949377794,0.0152229068503081,1422,0.173161227471992,23526,8067,0.926986488161646,0.0730135118383538,0.00644601462749473,0.189561435302646,0.150054367524465,0.391929443034916,0.268454754137973
"26137",24397,24397,1067,1355,0.956265114563266,0.944460384473501,0.043734885436734,0.0555396155264991,0.00545148993728737,0.00434479649137189,0.00426281919908185,0.0168873222117473,3603,0.149993755463969,26829,22787,0.976346162285514,0.0236538377144864,0.00337911967349805,0.211952289215887,0.186580317252121,0.399598311267779,0.201869082264213
"26139",284034,284034,30161,45433,0.893812008421527,0.84004379757353,0.106187991578473,0.15995620242647,0.0149172282191569,0.0268665018976601,0.00305597217234556,0.0966433595977946,23226,0.0848233850468928,30558,255499,0.905858731345328,0.0941412686546719,0.0627673689525204,0.244301738524261,0.255557433265032,0.358879570755614,0.141261257455093
"26141",12797,12797,444,552,0.9653043682113,0.956864890208643,0.0346956317887005,0.0431351097913574,0.0055481753535985,0.00468859889036493,0.00328201922325545,0.0131280768930218,1847,0.146262274311055,26503,12565,0.963867886987664,0.0361321130123359,0.00549144448865897,0.161365945143393,0.12971790263343,0.409549113073377,0.299367039149801
"26143",23877,23877,803,1171,0.966369309377225,0.950956987896302,0.033630690622775,0.0490430121036981,0.00150772710139465,0.00314109812790552,0.00917200653348411,0.0177576747497592,4271,0.181528391703502,23862,23197,0.985084278139415,0.0149157218605854,0.00504375565805923,0.152992419483185,0.132638103614357,0.402856305230975,0.311513171671483
"26145",192778,192778,48376,58799,0.749058502526222,0.694991129693222,0.250941497473778,0.305008870306778,0.186603243108653,0.0127763541482949,0.00299308012325058,0.0837803068814906,32975,0.176872244333115,26625,185106,0.948699663976316,0.0513003360236838,0.0268656877680896,0.216347301040575,0.219132888607621,0.382600711699468,0.181919098652336
