"GEOID","NAME.x","total_population","tot_population_race","pop_nonwhite","pop_nonwhitenh","race_pct_white","race_pct_whitenh","race_pct_nonwhite","race_pct_nonwhitenh","race_pct_black","race_pct_aapi","race_pct_native","race_pct_hisp","in_poverty","inc_pct_poverty","inc_percapita_income","tot_population_language","only_english_pct","any_other_than_english_pct","spanish_pct","age_pct_under18","age_pct_18_34","age_pct_35_64","age_pct_over65","Low","Mid","High","LowPerCap","MidPerCap","HighPerCap","ZIP_CODE","PO_NAME","STATE","ZIP_TYPE","zip_join_type","percentile"
"48750","ZCTA5 48750",8479,8479,452,734,0.946691826866376,0.913433187875929,0.0533081731336242,0.0865668121240712,0.00943507489090695,0.0103785823799976,0.00872744427408893,0.0379761764359005,1291,0.153617325083294,24130,8415,0.968865121806298,0.0311348781937018,0.0131907308377897,0.180917561033141,0.149310060148602,0.391201792664229,0.278570586154028,5646836,7821836,9996836,665.979006958368,922.4951055549,1179.01120415143,"48750","Oscoda","MI","Zip Code Area","Zip Matches ZCTA",48
"49440","ZCTA5 49440",983,983,249,249,0.746693794506612,0.746693794506612,0.253306205493388,0.253306205493388,0.107833163784334,0,0.0528992878942014,0,399,0.407142857142857,20186,805,0.980124223602485,0.0198757763975155,0.00993788819875776,0.128179043743642,0.24618514750763,0.337741607324517,0.287894201424212,11693339.13,18168339.13,24643339.13,11895.5637131231,18482.5423499491,25069.5209867752,"49440","Muskegon","MI","Zip Code Area","Zip Matches ZCTA",99
"49129","ZCTA5 49129",628,628,25,66,0.960191082802548,0.894904458598726,0.0398089171974523,0.105095541401274,0.0398089171974522,0,0,0.0652866242038217,0,0,59265,466,0.914163090128755,0.0858369098712446,0.0300429184549356,0.132165605095541,0.0493630573248408,0.471337579617834,0.347133757961783,1013812.65,1313812.65,1613812.65,1614.35135350318,2092.05835987261,2569.76536624204,"49129","Union Pier","MI","Zip Code Area","Zip Matches ZCTA",77
"48870","ZCTA5 48870",201,201,4,31,0.980099502487562,0.845771144278607,0.0199004975124378,0.154228855721393,0,0,0,0.134328358208955,25,0.144508670520231,14405,140,1,0,0,0.417910447761194,0.208955223880597,0.27363184079602,0.0995024875621891,20337,20337,20337,101.179104477612,101.179104477612,101.179104477612,"48870","Palo","MI","Post Office or large volume customer","Zip Matches ZCTA",6
"49402","ZCTA5 49402",1325,1325,147,154,0.889056603773585,0.88377358490566,0.110943396226415,0.11622641509434,0.0664150943396226,0.0105660377358491,0.00452830188679245,0.0158490566037736,198,0.149546827794562,22954,1209,0.975186104218362,0.0248138957816377,0.0140612076095947,0.197735849056604,0.0890566037735849,0.40377358490566,0.309433962264151,262600.82,362600.82,462600.82,198.189298113208,273.660996226415,349.132694339623,"49402","Branch","MI","Zip Code Area","Zip Matches ZCTA",16
"49895","ZCTA5 49895",717,717,52,52,0.927475592747559,0.927475592747559,0.0725244072524407,0.0725244072524407,0,0,0.0139470013947001,0.0334728033472803,43,0.0601398601398601,24459,534,0.98314606741573,0.0168539325842697,0.0168539325842697,0.0850767085076709,0.133891213389121,0.437935843793584,0.343096234309623,382517.8,382517.8,382517.8,533.497629009763,533.497629009763,533.497629009763,"49895","Wetmore","MI","Zip Code Area","Zip Matches ZCTA",30
"48021","ZCTA5 48021",32469,32469,17875,18218,0.449474883735255,0.438910961224553,0.550525116264745,0.561089038775447,0.492993316702085,0.0068988881702547,0.0121346515137516,0.0177091995441806,5646,0.174523198664647,22349,30607,0.953507367595648,0.046492632404352,0.0176430228379129,0.248821953247713,0.232406295235455,0.411223012719825,0.107548738797006,12492951.56,14892951.56,17292951.56,384.765516646648,458.682175613662,532.598834580677,"48021","Eastpointe","MI","Zip Code Area","Zip Matches ZCTA",27
"48629","ZCTA5 48629",7372,7372,148,308,0.979924036896365,0.958220293000543,0.0200759631036354,0.0417797069994574,0,0.00244167118827998,0.00596852957135106,0.021703743895822,1418,0.19478021978022,21397,7307,0.98850417407965,0.0114958259203504,0.0024633912686465,0.173901247965274,0.12805208898535,0.422273467173087,0.275773195876289,10037043.85,14362043.85,18687043.85,1361.5089324471,1948.18825963104,2534.86758681498,"48629","Houghton Lake","MI","Zip Code Area","Zip Matches ZCTA",75
"49619","ZCTA5 49619",1015,1015,84,89,0.917241379310345,0.912315270935961,0.0827586206896552,0.0876847290640395,0.0610837438423645,0,0.0118226600985222,0.00492610837438424,180,0.177339901477833,23384,1048,0.993320610687023,0.00667938931297707,0,0.197044334975369,0.133990147783251,0.432512315270936,0.236453201970443,128004,128004,128004,126.112315270936,126.112315270936,126.112315270936,"49619","Brethren","MI","Zip Code Area","Zip Matches ZCTA",8
"49880","ZCTA5 49880",978,978,80,86,0.918200408997955,0.912065439672802,0.081799591002045,0.0879345603271984,0.00204498977505112,0.00408997955010225,0.0214723926380368,0.0173824130879346,101,0.103271983640082,31874,998,0.942885771543086,0.0571142284569138,0.00501002004008016,0.164621676891616,0.162576687116564,0.424335378323108,0.248466257668712,220452,220452,220452,225.411042944785,225.411042944785,225.411042944785,"49880","Rock","MI","Zip Code Area","Zip Matches ZCTA",14
